编号,名称,类别,颜色,风格,尺码,季节,评分
C001,白色圆领T恤,上衣,白色,休闲,M,春夏,4.5
C002,黑色polo衫,上衣,黑色,商务,M,春夏,4.2
C003,蓝色条纹衬衫,上衣,蓝色,商务,L,春秋,4.6
C004,灰色连帽卫衣,上衣,灰色,休闲,L,秋冬,4.3
C005,红色短袖,上衣,红色,运动,M,夏,4.0
C006,白色牛津纺衬衫,上衣,白色,商务,M,春秋,4.7
C007,黑色高领毛衣,上衣,黑色,休闲,M,秋冬,4.4
C008,军绿色夹克,外套,军绿色,街头,L,春秋,4.5
C009,藏蓝色风衣,外套,藏蓝色,商务,L,春秋,4.8
C010,白色羽绒服,外套,白色,休闲,XL,冬,4.6
C011,黑色皮衣,外套,黑色,街头,M,秋冬,4.3
C012,灰色运动外套,外套,灰色,运动,L,秋冬,4.1
C013,深蓝色牛仔裤,下装,深蓝色,休闲,M,四季,4.7
C014,黑色休闲裤,下装,黑色,商务,M,四季,4.5
C015,卡其色休闲裤,下装,卡其色,休闲,L,春秋,4.4
C016,灰色运动裤,下装,灰色,运动,M,四季,4.2
C017,白色短裤,下装,白色,休闲,M,夏,4.0
C018,深色工装裤,下装,深蓝色,街头,L,春秋,4.3
C019,米色西装裤,下装,米色,商务,L,春秋,4.6
C020,白色运动鞋,鞋,白色,运动,42,四季,4.5
C021,黑色切尔西靴,鞋,黑色,商务,42,秋冬,4.7
C022,棕色马丁靴,鞋,棕色,街头,43,秋冬,4.4
C023,灰色板鞋,鞋,灰色,休闲,42,四季,4.3
C024,蓝色帆布鞋,鞋,蓝色,休闲,41,春夏,4.2
C025,黑色皮鞋,鞋,黑色,商务,42,四季,4.6
C026,黑色棒球帽,配饰,黑色,街头,均码,四季,4.1
C027,白色帆布包,配饰,白色,休闲,均码,春夏,4.0
C028,棕色皮带,配饰,棕色,商务,均码,四季,4.3
C029,银色手表,配饰,银色,商务,均码,四季,4.5
C030,墨色太阳镜,配饰,黑色,休闲,均码,夏,4.2
C031,格纹围巾,配饰,灰色,休闲,均码,秋冬,4.1
C032,蓝色运动背心,上衣,蓝色,运动,M,夏,3.9
C033,黑色针织开衫,上衣,黑色,休闲,M,春秋,4.3
C034,驼色大衣,外套,驼色,商务,L,秋冬,4.8
C035,军绿色工装短裤,下装,军绿色,街头,M,夏,4.1
C036,白色跑步鞋,鞋,白色,运动,43,四季,4.4
C037,红色运动短裤,下装,红色,运动,M,夏,3.8
C038,浅蓝色牛仔外套,外套,浅蓝色,休闲,M,春秋,4.5
C039,黑色斜挎包,配饰,黑色,街头,均码,四季,4.2
C040,米色针织帽,配饰,米色,休闲,均码,秋冬,4.0
